title,release_year,release_month,release_day,budget_$,domestic_box_office_$,worldwide_box_office_$
Speed 2: Cruise Control,1997,Jun,13,110000000,48097081,150468000
Kingdom of Heaven,2005,May,6,110000000,47398413,218674938
Ghost in the Shell,2017,Mar,23,110000000,40563557,167910690
Around the World in 80 Days,2004,Jun,16,110000000,24004159,72004159
The Cat in the Hat,2003,Nov,21,109000000,101018283,133818283
Ali,2001,Dec,25,109000000,58183966,87683966
The Martian,2015,Sep,30,108000000,228433663,655111538
Allied,2016,Nov,20,106000000,40098064,119266661
"I, Robot",2004,Jul,16,105000000,144801023,348629585
Stuart Little,1999,Dec,17,105000000,140015224,298815224
The Princess and the Frog,2009,Nov,25,105000000,104400899,270997378
"10,000 B.C.",2008,Mar,7,105000000,94784201,269065678
Ice Age: Collision Course,2016,Jul,1,105000000,64063008,402156682
Town & Country,2001,Apr,27,105000000,6712451,10364769
Kingsman: The Golden Circle,2017,Sep,19,104000000,100234838,408803696
Gone in 60 Seconds,2000,Jun,9,103300000,101643008,232643008
Gladiator,2000,May,4,103000000,187683805,457552323
The Hangover 3,2013,May,23,103000000,112200072,362000072
A Wrinkle in Time,2018,Mar,9,103000000,100478608,133214549
Public Enemies,2009,Jul,1,102500000,97104620,212282709
Casino Royale,2006,Nov,17,102000000,167365000,594420283
Minority Report,2002,Jun,21,102000000,132024714,358824714
Bumblebee,2018,Dec,13,102000000,127195589,465195589
Cloud Atlas,2012,Oct,26,102000000,27108272,130673154
Harry Potter and the Chamber of Secrets,2002,Nov,15,100000000,262233381,876508805
Terminator 2: Judgment Day,1991,Jul,2,100000000,203464105,515390883
Batman Forever,1995,Jun,16,100000000,184031112,336529144
Planet of the Apes,2001,Jul,27,100000000,180011740,362211740
National Treasure,2004,Nov,19,100000000,173005002,331323410
Django Unchained,2012,Dec,25,100000000,162805434,449841566
1917,2019,Dec,25,100000000,159227644,370603379
Little Fockers,2010,Dec,22,100000000,148438600,310650574
True Lies,1994,Jul,15,100000000,146282411,365300000
American Gangster,2007,Nov,2,100000000,130164645,267985456
Cloudy with a Chance of Meatballs,2009,Sep,18,100000000,124870275,236827677
The Other Guys,2010,Aug,6,100000000,119219978,170936470
Lemony Snicket's A Series of Unfortunate Events,2004,Dec,17,100000000,118627117,212956024
The Wolf of Wall Street,2013,Dec,25,100000000,116949183,389918903
Epic,2013,May,24,100000000,107518682,262794441
Eraser,1996,Jun,21,100000000,101295562,234400000
The Hunchback of Notre Dame,1996,Jun,21,100000000,100138851,325500000
The Emperor's New Groove,2000,Dec,15,100000000,89630573,169630573
The Expendables 2,2012,Aug,15,100000000,85028192,311979256
Where the Wild Things Are,2009,Oct,16,100000000,77233467,99123656
Eragon,2006,Dec,15,100000000,75030163,249488115
Hercules,2014,Jul,23,100000000,72688614,243388614
The Tourist,2010,Dec,10,100000000,67631157,278731369
End of Days,1999,Nov,24,100000000,66889043,212026975
Spies in Disguise,2019,Dec,25,100000000,66757013,165138481
The Stepford Wives,2004,Jun,11,100000000,59475623,96150482
Surf’s Up,2007,Jun,8,100000000,58867694,145395745
Blood Diamond,2006,Dec,8,100000000,57377916,171377916
Midway,2019,Nov,7,100000000,56846802,126829063
Legend of the Guardians: The Owls of Ga'Hoole,2010,Sep,24,100000000,55675313,139716717
Starship Troopers,1997,Nov,7,100000000,54768952,121100000
Land of the Lost,2009,Jun,5,100000000,49438370,69548641
Peter Pan,2003,Dec,18,100000000,48417850,95255485
Wonder Park,2019,Mar,15,100000000,45216793,115112118
Catwoman,2004,Jul,23,100000000,40202379,82078046
The Expendables 3,2014,Aug,14,100000000,39322544,209461378
Treasure Planet,2002,Nov,27,100000000,38120554,91800000
Green Zone,2010,Mar,12,100000000,35497337,97523020
Geostorm,2017,Oct,13,100000000,33700160,220796009
Point Break,2015,Dec,2,100000000,28782481,126704591
Cats,2019,Dec,17,100000000,27166770,75486351
In the Heart of the Sea,2015,Nov,26,100000000,25020758,89693309
Transcendence,2014,Apr,18,100000000,23022309,103039258
Son of the Mask,2005,Feb,18,100000000,17018422,59918422
Mortal Engines,2018,Dec,5,100000000,15951040,85480271
Chaos Walking,2021,Feb,3,100000000,13287908,26943020
The Adventures of Pluto Nash,2002,Aug,16,100000000,4411102,7094995
Jin líng shí san chai,2012,Jan,20,100000000,311434,98227017
The Peanuts Movie,2015,Nov,5,99000000,130178411,250091610
The LEGO Movie 2: The Second Part,2019,Feb,6,99000000,105806508,190131036
Robin Hood,2018,Nov,21,99000000,30824628,85210012
The Mummy Returns,2001,May,4,98000000,202007640,435040395
Ford v. Ferrari,2019,Nov,14,97600000,117624357,224418748
Gangs of New York,2002,Dec,20,97000000,77730500,183124621
Alien: Covenant,2017,May,4,97000000,74262031,238521247
Cinderella,2015,Mar,6,95000000,201151353,542351353
Ice Age: Continental Drift,2012,Jun,27,95000000,161321843,879765137
Black Hawk Down,2001,Dec,28,95000000,108638745,159691085
Sex and the City 2,2010,May,27,95000000,95347692,294680778
Percy Jackson & the Olympians: The Lightning Thief,2010,Feb,12,95000000,88768303,223050874
The Campaign,2012,Aug,10,95000000,86907746,104907746
Unstoppable,2010,Nov,12,95000000,81562942,165720921
The Fifth Element,1997,May,9,95000000,63570862,263898761
The Road to El Dorado,2000,Mar,31,95000000,50802661,65700000
